total_timesteps,episode,timestep,timestamp,action,alpha,vel,wing_spread,tail_pitch,tail_spread,f_x,f_y,f_z,m_x,m_y,m_z
0,0,0,2023-09-28 17:43:28.227407,[ 0.59472156  0.20784366 -0.37269187],-6.0,10.0,-0.76541644,0.9068270325660706,0.9992697,-0.5709929372927625,8.530449100766008,-138.9917843472412,-18.720938625257208,-0.13450396872682752,-0.013082266365862488
1,0,1,2023-09-28 17:43:28.230393,[-1.          1.          0.26456273],-6.0,10.0,-1,0.9729677140712738,1,-0.6031655013320733,8.59264939124201,-149.7438552491789,-20.155834981410468,-0.13378902285928726,-0.016656995703563694
2,0,2,2023-09-28 17:43:28.231005,[0.50418246 0.8314917  0.43967223],-6.0,10.0,-0.8739543855190277,1,1,-0.6141956194696713,8.61397428630803,-153.43012073076414,-20.64777825034734,-0.1335439091228962,-0.01788256438551903
3,0,3,2023-09-28 17:43:28.231584,[-0.6852811   0.9540591  -0.34853923],-6.0,10.0,-1,0.9128651916980743,1,-0.5761193662641335,8.540360196777325,-140.70503690947342,-18.949577357380356,-0.13439004808301927,-0.01365186958490372
4,0,4,2023-09-28 17:43:28.232147,[0.16828501 0.18831265 0.31061006],-6.0,10.0,-0.9579287469387054,0.9905177056789398,1,-0.6106843562779712,8.607185844137412,-152.256656572098,-20.49117591199752,-0.13362193719382287,-0.017492424030885696
5,0,5,2023-09-28 17:43:28.232745,[-0.0241195   0.99490905  0.15879095],-6.0,10.0,-0.9639586210250854,1,1,-0.6150056575892258,8.615540360005836,-153.70083547031928,-20.683905950479474,-0.133525908275795,-0.017972568621025087
6,0,6,2023-09-28 17:43:28.233323,[ 0.42873108 -0.0564155   1.        ],-6.0,10.0,-0.8567758500576019,1,0.9858961254358292,-0.6076942690966416,8.601405008920175,-151.25736943609763,-20.357818023710216,-0.1336883835756302,-0.017160192121849063
7,0,7,2023-09-28 17:43:28.233881,[ 0.9103904  -0.26836693 -0.16842723],-6.0,10.0,-0.6291782557964325,0.9578931927680969,0.9188043922185898,-0.558045047058395,8.505416512979563,-134.66459943091562,-18.14346272080442,-0.13479169962092455,-0.011643611895377222
8,0,8,2023-09-28 17:43:28.234425,[0.68551254 0.5835254  0.6017356 ],-6.0,10.0,-0.45780012011528015,1,1,-0.6104502310810376,8.606733202090005,-152.17841193128277,-20.480733928214278,-0.13362713997597694,-0.01746641012011528
9,0,9,2023-09-28 17:43:28.234980,[-0.16320652 -0.24959987 -0.515763  ],-6.0,10.0,-0.4986017495393753,0.8710592538118362,0.9376000314950943,-0.5283347784594863,8.447976660355007,-124.73542766516032,-16.81838474129309,-0.13545192781201143,-0.00834247093994292
11,1,0,2023-09-28 17:43:28.236276,[ 0.34734237 -0.93837804  0.64945817],-6.0,10.0,0.08781437,1,-0.06595741,-0.12585886522957565,7.669856561443846,9.772022536275822,1.1320409887609268,-0.14439583699489833,0.0363770749744916
12,1,1,2023-09-28 17:43:28.236849,[-0.76899123  0.00776482  0.01519775],-6.0,10.0,-0.10443344,1,-0.06401621,-0.1284626373333621,7.6748905208445,8.901841899190385,1.0159127529320502,-0.14433797539259197,0.03608776696295977
13,1,2,2023-09-28 17:43:28.237441,[-0.51242065  0.84812903 -0.42459083],-6.0,10.0,-0.23253861,0.8938522934913635,0.14801605,-0.2179598962751903,7.847918554798701,-21.0081420391686,-2.9756649958734878,-0.14234914741610688,0.02614362708053441
14,1,3,2023-09-28 17:43:28.238010,[0.04276526 0.6446786  0.26343775],-6.0,10.0,-0.2218473,0.9597117304801941,0.30918568,-0.2918547630681677,7.990781963931791,-45.703806521381644,-6.271376054840279,-0.14070703926515182,0.01793308632575915
15,1,4,2023-09-28 17:43:28.238574,[-0.27177978 -0.939692    0.8765919 ],-6.0,10.0,-0.28979224,1,0.07426268,-0.19235636553743363,7.798418395372372,-12.451442066610317,-1.8337475249695396,-0.14291811476583482,0.028988463829174044
16,1,5,2023-09-28 17:43:28.239134,[0.06858599 0.09552944 0.10823774],-6.0,10.0,-0.27264574,1,0.09814504,-0.20294910872557642,7.818897698869447,-15.991536840087635,-2.3061838711607074,-0.14268272047276498,0.027811492363824845
17,1,6,2023-09-28 17:43:28.239727,[-0.83627415  0.0109812   0.00480938],-6.0,10.0,-0.48171428,1,0.10089034,-0.2060661107955265,7.824923902871351,-17.033238931864958,-2.4452021634804826,-0.14261345376009943,0.027465158800497057
18,1,7,2023-09-28 17:43:28.240298,[ 0.03283656 -0.7172181   0.2608179 ],-6.0,10.0,-0.47350514,1,-0.07841419,-0.12530519217827799,7.668786126878004,9.957060070019502,1.1567348068488026,-0.14440814084048273,0.03643859420241356
19,1,8,2023-09-28 17:43:28.240858,[-0.9351763  -0.44067895 -0.9827307 ],-6.0,10.0,-0.70729923,0.7543173283338547,-0.18858393,-0.09868226785525339,7.61731513985349,18.854441378774325,2.3441172316557,-0.14499976138099438,0.03939669690497185
20,1,9,2023-09-28 17:43:28.241442,[ 0.38303447 -0.08632374 -0.25330317],-6.0,10.0,-0.6115406,0.690991535782814,-0.21016486,-0.09648393285339907,7.613065025516572,19.58912493639404,2.442162972738403,-0.14504861326992446,0.03964095634962233
21,1,10,2023-09-28 17:43:28.242005,[-0.9648841  -0.27547407 -0.78352046],-6.0,10.0,-0.8527616,0.495111420750618,-0.27903336,-0.10183621250988173,7.623412766185772,17.800393075197533,2.203451300059276,-0.14492967372200263,0.039046258610013145
22,1,11,2023-09-28 17:43:28.242571,[-0.47978973 -0.33907378  0.22722316],-6.0,10.0,-0.97270906,0.5519172102212906,-0.3638018,-0.07472959621961438,7.571006641357921,26.859424239404877,3.4124063866051992,-0.14553204297289746,0.04205810486448729
23,1,12,2023-09-28 17:43:28.243155,[ 0.42552805 -0.49307895  0.1702429 ],-6.0,10.0,-0.86632705,0.5944779366254807,-0.48707154,-0.033827994534585515,7.491930211433532,40.52873952254152,5.236617821757487,-0.146440967454787,0.04660272727393495
24,1,13,2023-09-28 17:43:28.243724,[-0.14079797  0.1062125  -0.42160738],-6.0,10.0,-0.9015266,0.48907609283924103,-0.46051842,-0.06309092189918908,7.548505204338432,30.749069197291018,3.9314912612961685,-0.14579068018001803,0.04335129090009011
25,1,14,2023-09-28 17:43:28.244276,[ 0.61215556  0.12213039 -0.75475544],-6.0,10.0,-0.7484877,0.3003872334957123,-0.42998582,-0.10494340631951551,7.629420007551063,16.761968904017916,2.0648704561496083,-0.14486062497067745,0.038701014853387165
26,1,15,2023-09-28 17:43:28.244822,[-0.00912422  0.24816167  0.45138407],-6.0,10.0,-0.7507688,0.4132332503795624,-0.3679454,-0.09466567537253065,7.609549727720226,20.196786586500263,2.523257256385134,-0.14508901899172155,0.03984298495860771
27,1,16,2023-09-28 17:43:28.245399,[-0.254202   -0.76101184  0.16265893],-6.0,10.0,-0.81431925,0.45389798283576965,-0.55819833,-0.049644609503361345,7.522509000373166,35.24282679997664,4.531196794150084,-0.14608948712214753,0.04484532561073763
28,1,17,2023-09-28 17:43:28.245960,[ 0.3638221  -0.284276   -0.69538784],-6.0,10.0,-0.72336376,0.28005102276802063,-0.62926733,-0.08353817147944308,7.588036553526924,23.915598387570128,3.0195439300168396,-0.14533629685601238,0.041079374280061885
29,1,18,2023-09-28 17:43:28.246508,[0.133968   0.19751585 0.7139447 ],-6.0,10.0,-0.6898718,0.45853719115257263,-0.57988834,-0.04288370853327089,7.509437925164324,37.502319904180865,4.832732977416119,-0.14623972936592733,0.045596536829636575
30,1,19,2023-09-28 17:43:28.247060,[ 0.8210616 -0.5702706  0.5759747],-6.0,10.0,-0.4846064,0.6025308668613434,-0.722456,0.03519442465170364,7.358486867673373,63.59603201459935,8.315017717465983,-0.1479747989922601,0.05427188496130041
31,1,20,2023-09-28 17:43:28.247600,[ 0.19528067  0.7182791  -0.01749718],-6.0,10.0,-0.43578622,0.5981565713882446,-0.5428862,-0.014123179991258561,7.453834236649767,47.114088542921394,6.115452550389869,-0.14687885222241648,0.04879215111208239
32,1,21,2023-09-28 17:43:28.248175,[ 0.5344981  -0.21898955 -0.46643066],-6.0,10.0,-0.3021617,0.48154890537261963,-0.5976336,-0.029544072538982252,7.483647962242032,41.96042625347213,5.427680742761392,-0.14653616572135594,0.04707871860677975
33,1,22,2023-09-28 17:43:28.248730,[ 0.6273105 -0.7318951 -0.4704157],-6.0,10.0,-0.14533406,0.36394497752189636,-0.78060734,-0.02979388177479317,7.484130926764601,41.87694000686412,5.416539250844225,-0.1465306144050046,0.047050962025022985
34,1,23,2023-09-28 17:43:28.249276,[-1.         -1.         -0.41917866],-6.0,10.0,-0.39533406,0.25915031135082245,-1,-0.043270396476774234,7.510185521855097,37.37308879346205,4.81548669513587,-0.14623113630051612,0.045553571502580645
35,1,24,2023-09-28 17:43:28.249836,[-0.89820814  0.16104913 -1.        ],-6.0,10.0,-0.6198861,0.009150311350822449,-0.9597377181053162,-0.1579571503815237,7.731913246070946,-0.9552243615052114,-0.2995425290159558,-0.14368254176929948,0.03281059884649737
36,1,25,2023-09-28 17:43:28.250402,[0.35785484 0.30910063 0.66251564],-6.0,10.0,-0.5304224,0.17477922141551971,-0.8824625611305237,-0.09169757779233337,7.603811405731845,21.18872479780219,2.6556344084619323,-0.14515497671572594,0.040172773578629625
