,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-10.0,2023-09-27 08:32:22.824952,2023-09-27 10:46:57.993764,0 days 02:14:35.168812,256,10000,0.995,0.004223293779580801,0,0.6030914410265078,big,0.01,32,COMPLETE
1,1,0.2,2023-09-27 08:32:22.829028,2023-09-27 10:47:36.025195,0 days 02:15:13.196167,2048,1000000,0.9,0.0003603778006838967,1000,0.31101886438341264,small,0.02,8,COMPLETE
2,2,-10.0,2023-09-27 10:46:57.996212,2023-09-27 12:20:37.980735,0 days 01:33:39.984523,512,10000,0.999,0.3020551828448193,20000,-2.749253042033396,medium,0.001,128,COMPLETE
3,3,0.0,2023-09-27 10:47:36.027128,2023-09-27 12:24:06.231571,0 days 01:36:30.204443,32,100000,0.9,2.8458596023385975e-05,20000,-3.0711723934786193,big,0.08,4,COMPLETE
4,4,0.0,2023-09-27 12:20:37.983006,2023-09-27 14:56:16.392414,0 days 02:35:38.409408,1024,10000,0.995,6.815894760260768e-05,0,-2.0785745373894446,big,0.02,32,COMPLETE
5,5,-10.0,2023-09-27 12:24:06.237108,2023-09-27 14:58:48.475972,0 days 02:34:42.238864,64,1000000,0.9,0.014259627333310388,1000,-1.200541799139767,big,0.08,4,COMPLETE
6,6,-10.0,2023-09-27 14:56:16.395463,2023-09-27 16:24:01.475435,0 days 01:27:45.079972,256,100000,0.99,0.9882246200603518,20000,0.985302611547894,big,0.01,8,COMPLETE
7,7,0.0,2023-09-27 14:58:48.477720,2023-09-27 16:29:31.298778,0 days 01:30:42.821058,128,100000,0.99,7.872281179683548e-05,20000,-3.7447895287708954,big,0.05,8,COMPLETE
8,8,-10.0,2023-09-27 16:24:01.479106,2023-09-27 17:46:49.368837,0 days 01:22:47.889731,1024,1000000,0.9999,0.010715085570401335,20000,0.08876243680037987,medium,0.08,1,COMPLETE
9,9,0.2,2023-09-27 16:29:31.301663,2023-09-27 17:57:55.406951,0 days 01:28:24.105288,512,1000000,0.995,0.007500765272268695,20000,-2.9553812424982384,medium,0.02,16,COMPLETE
10,10,0.0,2023-09-27 17:46:49.370868,2023-09-27 18:29:29.041155,0 days 00:42:39.670287,16,1000000,0.98,0.0011224711891712517,0,-2.1304960271031144,small,0.01,64,COMPLETE
11,11,0.0,2023-09-27 17:57:55.412479,2023-09-27 18:33:06.511301,0 days 00:35:11.098822,2048,1000000,0.98,0.0034977200942375376,1000,0.5390341728842561,small,0.01,8,COMPLETE
