,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-216606.63897839998,2023-09-27 08:29:58.794461,2023-09-27 10:12:47.019098,0 days 01:42:48.224637,256,1000000,0.9,1.1801561257248376e-05,0,0.5550930317054759,small,0.001,1,COMPLETE
1,1,-135514.87247640002,2023-09-27 08:29:58.798517,2023-09-27 09:25:22.316706,0 days 00:55:23.518189,64,100000,0.999,0.0003577980485893155,20000,-0.6618930495697719,big,0.01,64,COMPLETE
2,2,-234089.6414444,2023-09-27 09:25:22.319093,2023-09-27 11:16:02.968349,0 days 01:50:40.649256,2048,100000,0.99,0.22116657891718444,10000,-1.4141693335027674,big,0.01,8,COMPLETE
3,3,-228801.3791696,2023-09-27 10:12:47.024769,2023-09-27 12:33:41.651364,0 days 02:20:54.626595,16,1000000,0.9999,1.7406172987767034e-05,0,0.02477390397686552,small,0.01,1,COMPLETE
4,4,-444602.0732126,2023-09-27 11:16:02.973935,2023-09-27 13:45:09.891459,0 days 02:29:06.917524,128,1000000,0.9999,0.0008658686260613513,1000,-2.673582201595438,medium,0.02,16,COMPLETE
5,5,-222079.06907759997,2023-09-27 12:33:41.656089,2023-09-27 14:48:40.534131,0 days 02:14:58.878042,32,10000,0.95,0.01504666933977623,1000,0.3152942034695556,big,0.001,64,COMPLETE
6,6,-237101.31038620003,2023-09-27 13:45:09.893586,2023-09-27 16:02:48.960399,0 days 02:17:39.066813,128,10000,0.95,0.2641777955954874,0,-3.1939039034828935,medium,0.01,8,COMPLETE
7,7,-163540.42195219998,2023-09-27 14:48:40.538477,2023-09-27 16:33:55.525660,0 days 01:45:14.987183,1024,1000000,0.95,3.691538269625009e-05,10000,-3.7012705753189117,small,0.005,512,COMPLETE
8,8,-239039.2542304,2023-09-27 16:02:48.965574,2023-09-27 17:59:54.553484,0 days 01:57:05.587910,256,1000000,0.999,0.3063346593251126,1000,-2.134495983972628,small,0.001,4,COMPLETE
9,9,-230935.935323,2023-09-27 16:33:55.531630,2023-09-27 17:41:49.139489,0 days 01:07:53.607859,64,1000000,0.9999,0.0435695419413191,20000,0.10958461163401445,medium,0.02,8,COMPLETE
10,10,-221636.1392124,2023-09-27 17:41:49.145162,2023-09-27 18:13:06.364466,0 days 00:31:17.219304,32,100000,0.9,1.8061721043329677e-05,0,-2.216130347476052,small,0.02,256,COMPLETE
11,11,-195484.8881304,2023-09-27 17:59:54.559058,2023-09-27 18:17:09.965186,0 days 00:17:15.406128,64,100000,0.9999,0.0020214751290272373,1000,-1.672270888071905,big,0.02,64,COMPLETE
