,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-10.0,2023-09-27 08:26:51.799429,2023-09-27 09:16:30.369473,0 days 00:49:38.570044,256,100000,0.999,0.002715139050812738,verybig,0.5496252756994904,,0.05,128,COMPLETE
1,1,-10.0,2023-09-27 08:26:51.803175,2023-09-27 09:15:41.395236,0 days 00:48:49.592061,100,10000,0.99,0.47354414569825004,verybig,0.7198988676303625,,0.05,32,COMPLETE
2,2,-10.0,2023-09-27 09:15:41.398959,2023-09-27 10:05:05.565730,0 days 00:49:24.166771,1024,1000000,0.98,0.7057493285813895,medium,0.533433518979157,,0.02,64,COMPLETE
3,3,-10.0,2023-09-27 09:16:30.371361,2023-09-27 10:08:48.968996,0 days 00:52:18.597635,100,10000,0.95,0.10212905326581691,verybig,0.6289816965383955,,0.05,32,COMPLETE
4,4,-10.0,2023-09-27 10:05:05.568317,2023-09-27 11:00:35.559312,0 days 00:55:29.990995,64,1000000,0.99,0.003400561034761414,verybig,0.10411251375644082,ornstein-uhlenbeck,0.02,16,COMPLETE
5,5,0.0,2023-09-27 10:08:48.971247,2023-09-27 11:01:11.790538,0 days 00:52:22.819291,1024,1000000,0.95,0.00030309663657267786,verybig,0.09710498465969297,ornstein-uhlenbeck,0.08,32,COMPLETE
6,6,0.0,2023-09-27 11:00:35.561994,2023-09-27 11:58:54.999594,0 days 00:58:19.437600,16,1000000,0.99,0.000786132741118547,medium,0.7955478098817671,ornstein-uhlenbeck,0.005,512,COMPLETE
7,7,0.0,2023-09-27 11:01:11.792143,2023-09-27 11:57:52.826164,0 days 00:56:41.034021,16,10000,0.99,9.817176156748492e-05,medium,0.0008395109233578779,normal,0.08,32,COMPLETE
8,8,0.0,2023-09-27 11:57:52.828518,2023-09-27 12:53:57.354627,0 days 00:56:04.526109,512,100000,0.98,0.00020473029617433183,medium,0.8581093201027028,ornstein-uhlenbeck,0.005,8,COMPLETE
9,9,-10.0,2023-09-27 11:58:55.001079,2023-09-27 12:57:00.127210,0 days 00:58:05.126131,32,1000000,0.95,0.4432658822634421,verybig,0.550892764901874,ornstein-uhlenbeck,0.05,512,COMPLETE
10,10,-10.0,2023-09-27 12:53:57.356494,2023-09-27 13:44:01.539561,0 days 00:50:04.183067,256,10000,0.995,0.008423816588392268,medium,0.3368700317020762,ornstein-uhlenbeck,0.08,1,COMPLETE
11,11,0.0,2023-09-27 12:57:00.128824,2023-09-27 13:49:47.889636,0 days 00:52:47.760812,1024,1000000,0.95,4.6366208541126e-05,big,0.5600008849905458,ornstein-uhlenbeck,0.08,64,COMPLETE
