,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-240033.5116606,2023-09-27 11:00:48.418643,2023-09-27 11:24:50.424577,0 days 00:24:02.005934,100,100000,0.999,2.647814882461005e-05,small,0.5061726395882458,ornstein-uhlenbeck,0.005,1,COMPLETE
1,1,-198814.2739472,2023-09-27 11:00:48.421431,2023-09-27 11:26:07.352716,0 days 00:25:18.931285,16,1000000,0.999,0.0005084626727295099,small,0.277398972219167,normal,0.02,64,COMPLETE
2,2,-551573.1248079999,2023-09-27 11:24:50.426391,2023-09-27 11:48:40.721339,0 days 00:23:50.294948,64,10000,0.98,0.00012557731319814627,medium,0.14947699775068912,,0.05,1,COMPLETE
3,3,-211975.39951760002,2023-09-27 11:26:07.354247,2023-09-27 11:51:08.180890,0 days 00:25:00.826643,32,100000,0.995,0.1882443670375427,small,0.3295871051285023,ornstein-uhlenbeck,0.001,32,COMPLETE
4,4,-221285.7079368,2023-09-27 11:48:40.723265,2023-09-27 12:13:07.096863,0 days 00:24:26.373598,2048,100000,0.9,0.018982128729009534,big,0.014496797968096775,normal,0.001,128,COMPLETE
5,5,-229541.40638499995,2023-09-27 11:51:08.182934,2023-09-27 12:17:15.865446,0 days 00:26:07.682512,100,100000,0.9,2.2249667597325752e-05,small,0.014707430424526824,ornstein-uhlenbeck,0.08,64,COMPLETE
6,6,-221750.6895486,2023-09-27 12:13:07.098884,2023-09-27 12:36:27.752864,0 days 00:23:20.653980,512,1000000,0.995,0.05929581318047511,medium,0.1990043861938261,ornstein-uhlenbeck,0.05,4,COMPLETE
7,7,-242149.17390720002,2023-09-27 12:17:15.867629,2023-09-27 12:41:26.993805,0 days 00:24:11.126176,100,10000,0.9,0.0378708934956199,small,0.07739518296165138,normal,0.05,256,COMPLETE
8,8,-296956.74696580006,2023-09-27 12:36:27.754577,2023-09-27 12:59:16.429758,0 days 00:22:48.675181,16,1000000,0.995,0.00010151951166972559,big,0.07649906471866852,,0.01,4,COMPLETE
9,9,-227125.8408526,2023-09-27 12:41:26.996061,2023-09-27 13:05:40.506073,0 days 00:24:13.510012,32,1000000,0.9999,0.00018059071119708343,medium,0.7014443680455316,,0.08,512,COMPLETE
10,10,-222576.81101859998,2023-09-27 12:59:16.431329,2023-09-27 13:22:05.992967,0 days 00:22:49.561638,16,1000000,0.98,0.27340825983158534,medium,0.0862194919547059,ornstein-uhlenbeck,0.005,256,COMPLETE
11,11,-229820.3298996,2023-09-27 13:05:40.507757,2023-09-27 13:29:06.228030,0 days 00:23:25.720273,16,1000000,0.999,1.0827396703701035e-05,small,0.5337831248739626,ornstein-uhlenbeck,0.02,4,PRUNED
12,12,-225542.48426300002,2023-09-27 13:22:05.994776,2023-09-27 13:45:47.456228,0 days 00:23:41.461452,100,100000,0.995,0.7117455576175281,small,0.05958553739064221,ornstein-uhlenbeck,0.02,32,COMPLETE
13,13,-204012.1745244,2023-09-27 13:29:06.229535,2023-09-27 13:53:20.971459,0 days 00:24:14.741924,2048,1000000,0.999,0.0022744098711096655,small,0.03419065661300458,normal,0.05,64,COMPLETE
14,14,-620472.8817368,2023-09-27 13:45:47.458184,2023-09-27 14:09:30.270725,0 days 00:23:42.812541,512,1000000,0.999,0.004297243634121705,small,0.11331319416266583,normal,0.02,64,PRUNED
15,15,-164528.0119232,2023-09-27 13:53:20.976551,2023-09-27 14:17:18.865913,0 days 00:23:57.889362,2048,1000000,0.995,0.0015906073976169391,small,0.4574696924049114,normal,0.05,64,COMPLETE
16,16,-231182.8868214,2023-09-27 14:09:30.272289,2023-09-27 14:32:19.069998,0 days 00:22:48.797709,2048,1000000,0.9,0.0025306357376478046,small,0.18412280747038884,normal,0.08,64,PRUNED
17,17,-222026.87570719997,2023-09-27 14:17:18.869779,2023-09-27 14:41:45.850163,0 days 00:24:26.980384,16,1000000,0.999,5.086950377591464e-05,small,0.012858745756085255,normal,0.02,256,COMPLETE
18,18,-205493.35984760002,2023-09-27 14:32:19.071589,2023-09-27 14:55:16.243244,0 days 00:22:57.171655,2048,1000000,0.999,0.0016989990141883752,small,0.704193086899315,normal,0.05,64,COMPLETE
19,19,-221374.51586100002,2023-09-27 14:41:45.852019,2023-09-27 15:05:05.490795,0 days 00:23:19.638776,16,10000,0.999,0.0002581525406967751,small,0.6482070820998862,normal,0.05,64,COMPLETE
20,20,-239477.3718438,2023-09-27 14:55:16.245142,2023-09-27 15:14:49.144939,0 days 00:19:32.899797,16,1000000,0.995,4.6038943416037466e-05,small,0.6168779816784317,normal,0.005,64,PRUNED
21,21,-237737.1276734,2023-09-27 15:05:05.493166,2023-09-27 15:25:42.540059,0 days 00:20:37.046893,16,1000000,0.999,5.3644721261503976e-05,medium,0.4413496285937553,normal,0.02,64,PRUNED
22,22,-139428.8300248,2023-09-27 15:14:49.146760,2023-09-27 15:37:53.257336,0 days 00:23:04.110576,2048,1000000,0.999,0.014067027725851888,small,0.10261031168216346,normal,0.05,64,COMPLETE
23,23,-165706.8198178,2023-09-27 15:25:42.541612,2023-09-27 15:50:42.267362,0 days 00:24:59.725750,2048,1000000,0.995,0.01081103699749084,small,0.37943538784049924,normal,0.05,128,COMPLETE
24,24,-238342.8456162,2023-09-27 15:37:53.259067,2023-09-27 16:02:18.999337,0 days 00:24:25.740270,16,1000000,0.995,0.013398014644383742,small,0.3078639852703743,normal,0.05,32,PRUNED
25,25,-220083.79825599998,2023-09-27 15:50:42.269817,2023-09-27 16:15:57.873265,0 days 00:25:15.603448,2048,1000000,0.995,0.003298530288066452,small,0.4021007262377585,normal,0.005,128,COMPLETE
26,26,-240704.29204839998,2023-09-27 16:02:19.001092,2023-09-27 16:27:29.185405,0 days 00:25:10.184313,2048,1000000,0.98,0.09659231326512982,small,0.2044194532935527,normal,0.05,16,PRUNED
27,27,-169690.767892,2023-09-27 16:15:57.875339,2023-09-27 16:41:46.192702,0 days 00:25:48.317363,2048,100000,0.995,0.0037873308000604985,small,0.6061233484650925,normal,0.05,16,COMPLETE
28,28,-215699.4029674,2023-09-27 16:27:29.186957,2023-09-27 16:53:07.416345,0 days 00:25:38.229388,2048,1000000,0.999,0.022411270408117485,big,0.24120854335415726,,0.05,64,COMPLETE
29,29,-219977.7716368,2023-09-27 16:41:46.194535,2023-09-27 17:04:20.881174,0 days 00:22:34.686639,2048,100000,0.999,0.11163416397135491,small,0.10622778893824843,normal,0.001,64,COMPLETE
