,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-18369.6853338,2023-08-16 19:33:12.128921,2023-08-16 19:33:15.935932,0 days 00:00:03.807011,64,10000,0.99,0.004640954860701556,20000,-0.18428111015530257,small,0.08,64,COMPLETE
1,1,-18691.9489108,2023-08-16 19:33:12.131665,2023-08-16 19:35:54.351600,0 days 00:02:42.219935,128,10000,0.95,1.5325996706186145e-05,0,-1.3487283419792582,big,0.001,16,COMPLETE
2,2,-18395.0885962,2023-08-16 19:33:15.943602,2023-08-16 19:39:07.246492,0 days 00:05:51.302890,512,1000000,0.9,0.6567402702237136,0,-0.025826060117716043,big,0.005,16,COMPLETE
3,3,-18601.0100676,2023-08-16 19:35:54.353118,2023-08-16 19:37:02.963385,0 days 00:01:08.610267,256,10000,0.98,0.37368783527181765,1000,-1.9557698035369646,small,0.08,256,COMPLETE
4,4,-5007.485733399999,2023-08-16 19:37:02.964947,2023-08-16 19:37:07.963148,0 days 00:00:04.998201,128,1000000,0.9999,0.26328786680672983,20000,-1.2952930005036505,big,0.02,128,COMPLETE
5,5,-17962.197935999997,2023-08-16 19:37:07.965018,2023-08-16 19:37:14.902789,0 days 00:00:06.937771,32,10000,0.95,1.793103418048625e-05,20000,-0.48812982864356735,big,0.01,1,COMPLETE
6,6,-17893.770416199997,2023-08-16 19:37:14.904671,2023-08-16 19:37:19.225029,0 days 00:00:04.320358,2048,10000,0.99,0.0013750685288938858,20000,0.58726580346441,big,0.01,4,COMPLETE
7,7,-17535.2384572,2023-08-16 19:37:19.226822,2023-08-16 19:37:26.853672,0 days 00:00:07.626850,256,10000,0.9999,0.03447952476016246,10000,-3.8193068848554326,medium,0.02,1,COMPLETE
8,8,-18332.649966,2023-08-16 19:37:26.854876,2023-08-16 19:37:30.357512,0 days 00:00:03.502636,64,10000,0.999,0.1825602811883499,10000,-0.9249968223254466,medium,0.001,256,COMPLETE
9,9,-17951.8312474,2023-08-16 19:37:30.359011,2023-08-16 19:39:09.513893,0 days 00:01:39.154882,64,1000000,0.995,2.7246401904221925e-05,1000,-0.7797092642766077,big,0.005,64,COMPLETE
10,10,,2023-08-16 19:39:07.247809,,,2048,1000000,0.9999,0.005410302283267348,0,-0.5250852254974792,big,0.005,128,RUNNING
11,11,-18119.7563756,2023-08-16 19:39:09.516331,2023-08-16 19:39:13.396924,0 days 00:00:03.880593,128,100000,0.9999,0.08678970432228406,20000,-1.4835180703758262,big,0.001,16,COMPLETE
12,12,-18734.5926774,2023-08-16 19:39:13.398479,2023-08-16 19:39:20.937086,0 days 00:00:07.538607,256,10000,0.9999,0.10398757405868035,10000,-3.3880151123842945,medium,0.05,1,PRUNED
13,13,-17715.2966208,2023-08-16 19:39:20.938128,2023-08-16 19:39:24.691527,0 days 00:00:03.753399,128,1000000,0.99,0.01159963307025259,20000,-1.1617382858175445,big,0.005,128,COMPLETE
14,14,-17740.2123756,2023-08-16 19:39:24.693376,2023-08-16 19:39:28.395084,0 days 00:00:03.701708,2048,10000,0.999,0.02315456775778021,10000,-3.24336313169322,medium,0.02,128,COMPLETE
15,15,-38917.22606860001,2023-08-16 19:39:28.396107,2023-08-16 19:39:34.328116,0 days 00:00:05.932009,128,1000000,0.9999,0.751813624418521,20000,-1.554764639211865,medium,0.02,32,PRUNED
16,16,,2023-08-16 19:39:34.329386,,,512,1000000,0.9999,0.020867789667700993,1000,-0.6485529700940769,big,0.02,128,RUNNING
